pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
Ti2GaNi,Ti,Ni,Ga,-25.65923811,-6.4148095275,58.3856381461269,-0.2650053435416675,216,0.0,6.375035159544758,3.0029911
Ti2InNi,Ti,Ni,In,-24.62129477,-6.1553236925,66.33369541101591,-0.07462258166666658,225,0.0,6.7400512278424305,1.0503877
Ti2InNi,Ti,Ni,In,-24.71166524,-6.17791631,65.75336884006855,-0.09721519916666654,216,0.0,6.799537622016046,3.0023676
Ti2AlCu,Ti,Cu,Al,-23.86366241,-5.9659156025,62.7309158286466,-0.05697396916666708,216,0.0,4.93049650821584,3.7580484
MnAlV2,V,Mn,Al,-31.69691158,-7.924227895,52.61736722999949,-0.1553770794827587,216,0.0,5.800582330082793,1.998056
V2NiSb,V,Ni,Sb,-27.75706049,-6.9392651225,59.09369137680514,0.03197239250000017,216,0.0,7.933683125898358,0.844381
Y2FeB,Y,Fe,B,-25.45132994,-6.362832485,67.15332325637026,0.6577531268749999,216,0.0,6.045094221503624,0.9991606
Y2ZnCu,Y,Cu,Zn,-19.45429465,-4.8635736625,87.24878740324627,-0.2906005358333337,225,0.0,5.838454663302392,0.0001466
Y2AlRu,Y,Ru,Al,-27.37579915,-6.8439497875,86.74023092292904,-0.3557228595833326,225,0.0,5.855389723176752,0.0082566
Y2ZnRu,Y,Ru,Zn,-24.90283484,-6.22570871,85.00153278220755,-0.35893983708333366,225,0.0,6.725857039330119,3.31e-05
Y2MgRu,Y,Ru,Mg,-24.59075593,-6.1476889825,90.70464880301223,-0.19578599958333331,225,0.0,5.550469203810144,9.31e-05
Y2ZnRh,Y,Rh,Zn,-23.95077196,-5.98769299,86.01413574263655,-0.5984445633333335,225,0.0,6.682111865816292,0.0133909
Y2AlAg,Y,Ag,Al,-21.00555368,-5.25138842,97.82810929588994,-0.3736199049999991,225,0.0,5.30713040609147,0.0004925
Y2GaAg,Y,Ag,Ga,-20.75272155,-5.1881803875,95.76916771631423,-0.48978182437500006,225,0.0,6.162321485147453,8.48e-05
Y2ZnAg,Y,Ag,Zn,-18.39897067,-4.5997426675,95.00761616757386,-0.34343220750000025,225,0.0,6.136316832445669,8.3e-05
Y2AlCd,Y,Cd,Al,-19.14652411,-4.7866310275,100.16315740315015,-0.3862790733333332,225,0.0,5.258720311365124,0.0014881
Y2MgCd,Y,Cd,Mg,-16.35954522,-4.089886305,107.61761536173626,-0.2258582958333335,225,0.0,4.853160252829247,0.0022505
Y2ZnIr,Y,Ir,Zn,-25.54622784,-6.38655696,85.53277069328038,-0.6287778958333341,225,0.0,8.45361732187235,0.0112016
Y2ZnPt,Y,Pt,Zn,-23.41868047,-5.8546701175,88.17350401072918,-0.788771730833334,225,0.0,8.254430688564105,0.0003049
Y2ZnAu,Y,Au,Zn,-19.90127057,-4.9753176425,93.33385226560196,-0.6086757983333335,225,0.0,7.831543850931918,0.0007498
LiY2Al,Y,Li,Al,-19.56345422,-4.890863555,97.7990619844138,-0.24400332416666703,225,0.0,3.5950546743294827,0.0023886
LiY2Ga,Y,Li,Ga,-19.25989631,-4.8149740775,94.26725699689061,-0.3474837985416661,225,0.0,4.482647048532662,0.0002179
Y2MgAl,Y,Mg,Al,-19.47667013,-4.8691675325,100.03644559392767,-0.299468005833333,225,0.0,3.8028797707266837,0.004213
YMg,Y,Mg,Mg,-7.37646683,-3.688233415,60.57378461434206,0.3451421666666663,225,0.0,3.103504930142369,0.002437
YMg,Y,Mg,Mg,-5.62337031,-2.811685155,89.11838040356086,1.2216904266666662,216,0.0,2.1094530481445,0.0001411
HfMg,Hf,Mg,Mg,-7.2205686,-3.6102843,70.60790068216173,2.16845015,216,0.0,4.769282428137999,0.320299
HfMg,Hf,Mg,Mg,-9.61812229,-4.809061145,46.89969140439414,0.9696733049999997,225,0.0,7.180196925125102,6.65e-05
FePbW2,W,Fe,Pb,-34.69253318,-8.673133295,65.99676973991038,0.8515938200000015,216,0.0,15.869617663240303,1.9511508
Li2CoSb,Li,Co,Sb,-15.34861008,-3.83715252,61.694115147549255,-0.12136132791666654,225,0.0,5.237123701605563,1.8919601
Li2CuGe,Li,Cu,Ge,-13.81908476,-3.45477119,52.862685231443564,-0.31975112541666695,216,0.0,4.713982567391494,0.0005958
Li2CuSn,Li,Cu,Sn,-13.24557038,-3.311392595,62.25348644540491,-0.3297365304166666,216,0.0,5.231752148217734,0.0008823
Li2CuSb,Li,Cu,Sb,-13.74521075,-3.4363026875,63.520109932708664,-0.4727892766666666,216,0.5274999999999999,5.207161258825238,0.0016967
Li2AlRh,Li,Rh,Al,-16.89079915,-4.2226997875,54.24173983482925,-0.4907674291666666,216,0.0,4.4012988132347735,9.6e-06
Li2GaRh,Li,Rh,Ga,-16.15866979,-4.0396674475,54.201562267335376,-0.48710504104166663,216,0.0,5.714004516208291,0.0005062
Li2InRh,Li,Rh,In,-15.43512577,-3.8587814425,63.21665799486576,-0.375322109166667,216,0.0,6.0836809946622195,0.0003508
Li2AlPd,Li,Pd,Al,-14.88314863,-3.7207871575,56.95486965157145,-0.5349613141666669,216,0.0,4.294102878447042,0.0067151
Li2GaPd,Li,Pd,Ga,-14.23007924,-3.55751981,56.97389557587856,-0.5510639185416664,216,0.0,5.538394960380049,0.0068776
Li2GePd,Li,Pd,Ge,-15.23865738,-3.809664345,55.23312510716777,-0.4044754954166665,225,0.0,5.800644594458398,0.0023226
Li2GePd,Li,Pd,Ge,-15.83508125,-3.9587703125,56.25033306210289,-0.5535814629166667,216,0.0,5.69574811644608,0.0031118
